epoch,source_val_label_loss,source_val_domain_loss,target_val_label_loss,target_val_domain_loss,source_train_label_loss,source_train_domain_loss,source_val_label_accuracy,target_val_label_accuracy
0,1.7313603566595823,15.0,1.7313603566595828,15.0,2.355462213100846,15.001714481655046,0.3713020833333333,0.3713020833333333
1,1.5040640586484049,15.0,1.5040640586484046,15.0,1.5671478997267145,15.001714481655046,0.4008333333333333,0.4008333333333333
2,1.445285931908344,15.0,1.4452859319083406,15.0,1.48145015845247,15.001714481655046,0.41750208333333333,0.41750208333333333
3,1.4116869212426237,15.0,1.4116869212426293,15.0,1.436475290616892,15.001714481655046,0.4346583333333333,0.4346583333333333
4,1.4176194155403636,15.0,1.4176194155403634,15.0,1.4035485565644301,15.001714481655046,0.42235416666666664,0.42235416666666664
5,1.3935786827479393,15.0,1.3935786827479382,15.0,1.3756379410683477,15.001714481655046,0.438725,0.438725
6,1.3372197362943932,15.0,1.3372197362943976,15.0,1.3551439615708532,15.001714481655046,0.4609416666666667,0.4609416666666667
7,1.3259363472669639,15.0,1.3259363472669634,15.0,1.3408109748799315,15.001714481655046,0.46139166666666664,0.46139166666666664
8,1.3496586113512268,15.0,1.3496586113512283,15.0,1.330607286667146,15.001714481655046,0.4565375,0.4565375
9,1.3068471165295579,15.0,1.3068471165295552,15.0,1.3208224128966872,15.001714481655046,0.47467291666666667,0.47467291666666667
10,1.3115910922237684,15.0,1.3115910922237715,15.0,1.309207508232774,15.001714481655046,0.4722166666666667,0.4722166666666667
11,1.2774282447003593,15.0,1.2774282447003562,15.0,1.2943904113434153,15.001714481655046,0.4925645833333333,0.4925645833333333
12,1.2438956490990671,15.0,1.2438956490990667,15.0,1.2713567293710046,15.001714481655046,0.5186354166666667,0.5186354166666667
13,1.1784623538982817,15.0,1.1784623538982824,15.0,1.2234617659143097,15.001714481655046,0.5538270833333333,0.5538270833333333
14,1.121693920677189,15.0,1.1216939206771874,15.0,1.1580251979645368,15.001714481655046,0.5761895833333334,0.5761895833333334
15,1.0956262465651316,15.0,1.095626246565132,15.0,1.1080089843060563,15.001714481655046,0.5821833333333334,0.5821833333333334
16,1.083628473758639,15.0,1.0836284737586401,15.0,1.0721092950363154,15.001714481655046,0.5889729166666666,0.5889729166666666
17,1.019493096707048,15.0,1.0194930967070492,15.0,1.0449089107589071,15.001714481655046,0.6140583333333334,0.6140583333333334
18,1.001900656269896,15.0,1.001900656269894,15.0,1.0208028191216836,15.001714481655046,0.6213041666666667,0.6213041666666667
19,0.9824384163078804,15.0,0.9824384163078804,15.0,0.9973051889920868,15.001714481655046,0.63031875,0.63031875
20,0.9692644105107847,15.0,0.9692644105107843,15.0,0.9750237673858762,15.001714481655046,0.63721875,0.63721875
21,0.9356736517967895,15.0,0.9356736517967897,15.0,0.9542283705138946,15.001714481655046,0.6507125,0.6507125
22,0.9245033479495827,15.0,0.9245033479495829,15.0,0.9336166148782269,15.001714481655046,0.6545125,0.6545125
23,0.9172563444307108,15.0,0.917256344430709,15.0,0.917331759561312,15.001714481655046,0.6561229166666667,0.6561229166666667
24,0.8899351184225949,15.0,0.889935118422594,15.0,0.9042035310412719,15.001714481655046,0.667025,0.667025
25,0.9068009630813416,15.0,0.9068009630813406,15.0,0.8930837834484268,15.001714481655046,0.6620791666666667,0.6620791666666667
26,0.8685847410220386,15.0,0.8685847410220395,15.0,0.8826156153903121,15.001714481655046,0.6734,0.6734
27,0.8569959526452783,15.0,0.8569959526452748,15.0,0.8720259900566283,15.001714481655046,0.678725,0.678725
28,0.8500237196929911,15.0,0.8500237196929894,15.0,0.8619356604223046,15.001714481655046,0.68093125,0.68093125
29,0.8461589834448708,15.0,0.8461589834448697,15.0,0.8508710132477565,15.001714481655046,0.6810229166666667,0.6810229166666667
30,0.8249494636833289,15.0,0.8249494636833308,15.0,0.8394947191817401,15.001714481655046,0.6897604166666667,0.6897604166666667
31,0.8170669819301548,15.0,0.8170669819301554,15.0,0.8278820662383364,15.001714481655046,0.6916,0.6916
32,0.8268805545019436,15.0,0.8268805545019431,15.0,0.8158786170655017,15.001714481655046,0.68984375,0.68984375
33,0.7875792046441499,15.0,0.7875792046441505,15.0,0.8012684340224562,15.001714481655046,0.7026916666666667,0.7026916666666667
34,0.7760242839586113,15.0,0.776024283958611,15.0,0.7864037920532964,15.001714481655046,0.7081354166666667,0.7081354166666667
35,0.7547719170151362,15.0,0.7547719170151383,15.0,0.7719407485179421,15.001714481655046,0.7160395833333333,0.7160395833333333
36,0.748443408279108,15.0,0.7484434082791076,15.0,0.756819298560951,15.001714481655046,0.71835,0.71835
37,0.7419452261655964,15.0,0.7419452261655943,15.0,0.7441546545551166,15.001714481655046,0.7197125,0.7197125
38,0.7279625922702552,15.0,0.7279625922702554,15.0,0.7323876569910156,15.001714481655046,0.7247208333333334,0.7247208333333334
39,0.7175490841741748,15.0,0.7175490841741758,15.0,0.7221878062557503,15.001714481655046,0.7287375,0.7287375
40,0.71071687527581,15.0,0.7107168752758096,15.0,0.7134797123326785,15.001714481655046,0.7317833333333333,0.7317833333333333
41,0.6928916937792338,15.0,0.6928916937792311,15.0,0.7062541619401463,15.001714481655046,0.7377458333333333,0.7377458333333333
42,0.7075059283061392,15.0,0.7075059283061377,15.0,0.6995201229461757,15.001714481655046,0.7306708333333334,0.7306708333333334
43,0.6878604611588667,15.0,0.6878604611588638,15.0,0.6939888602505777,15.001714481655046,0.739275,0.739275
44,0.6826282953850695,15.0,0.6826282953850721,15.0,0.6891644117282624,15.001714481655046,0.7400854166666667,0.7400854166666667
45,0.6946361101506277,15.0,0.6946361101506278,15.0,0.6850103190384352,15.001714481655046,0.7366583333333333,0.7366583333333333
46,0.6745013252905739,15.0,0.6745013252905757,15.0,0.6800016827892928,15.001714481655046,0.7442479166666667,0.7442479166666667
47,0.6708821626527915,15.0,0.6708821626527915,15.0,0.6757856311440222,15.001714481655046,0.74480625,0.74480625
48,0.6788018365525268,15.0,0.6788018365525273,15.0,0.6723441928525432,15.001714481655046,0.7424916666666667,0.7424916666666667
49,0.6799168051355731,15.0,0.6799168051355743,15.0,0.6684220310767962,15.001714481655046,0.7421791666666666,0.7421791666666666
50,0.6628703971664078,15.0,0.6628703971664096,15.0,0.6651994193242938,15.001714481655046,0.7477041666666666,0.7477041666666666
51,0.6794472085007526,15.0,0.6794472085007532,15.0,0.6607996746257039,15.001714481655046,0.7413520833333334,0.7413520833333334
52,0.6472435074054629,15.0,0.6472435074054609,15.0,0.6574440767307949,15.001714481655046,0.7530666666666667,0.7530666666666667
53,0.6586062074851401,15.0,0.6586062074851412,15.0,0.6536418900260794,15.001714481655046,0.7491416666666667,0.7491416666666667
54,0.6425161261852662,15.0,0.6425161261852658,15.0,0.6503501656412224,15.001714481655046,0.7547041666666666,0.7547041666666666
55,0.6410187943699424,15.0,0.6410187943699435,15.0,0.6465057542457588,15.001714481655046,0.7547291666666667,0.7547291666666667
56,0.6418853832961546,15.0,0.6418853832961547,15.0,0.6437094931399935,15.001714481655046,0.7536791666666667,0.7536791666666667
57,0.6381340083651509,15.0,0.6381340083651499,15.0,0.6409816218294653,15.001714481655046,0.7558020833333333,0.7558020833333333
58,0.6345166946426072,15.0,0.6345166946426077,15.0,0.6380752263675405,15.001714481655046,0.7568645833333333,0.7568645833333333
59,0.6289309791245112,15.0,0.6289309791245118,15.0,0.635799297104853,15.001714481655046,0.7589354166666666,0.7589354166666666
60,0.627401523047769,15.0,0.6274015230477683,15.0,0.6338075153870166,15.001714481655046,0.75969375,0.75969375
61,0.6409471427939871,15.0,0.6409471427939869,15.0,0.6307591526799438,15.001714481655046,0.7547875,0.7547875
62,0.6286720880560457,15.0,0.6286720880560447,15.0,0.6289491657717371,15.001714481655046,0.7587020833333333,0.7587020833333333
63,0.632171735815421,15.0,0.6321717358154205,15.0,0.6267180208317547,15.001714481655046,0.7584333333333333,0.7584333333333333
64,0.6211854616060467,15.0,0.621185461606048,15.0,0.624533027674752,15.001714481655046,0.7618708333333334,0.7618708333333334
65,0.614354387443669,15.0,0.6143543874436699,15.0,0.6227618735713382,15.001714481655046,0.7643208333333333,0.7643208333333333
66,0.6213134786637758,15.0,0.6213134786637761,15.0,0.6206735615017159,15.001714481655046,0.7623541666666667,0.7623541666666667
67,0.6345710572582424,15.0,0.6345710572582437,15.0,0.6191824809242588,15.001714481655046,0.7572916666666667,0.7572916666666667
68,0.6252091712180039,15.0,0.6252091712180049,15.0,0.6174020851507737,15.001714481655046,0.7603604166666666,0.7603604166666666
69,0.6203527410273666,15.0,0.6203527410273664,15.0,0.6156189434482819,15.001714481655046,0.76094375,0.76094375
70,0.6137834607278133,15.0,0.6137834607278141,15.0,0.6139057571175544,15.001714481655046,0.764425,0.764425
71,0.6244679391042286,15.0,0.6244679391042299,15.0,0.6122697787297011,15.001714481655046,0.7608604166666667,0.7608604166666667
72,0.6091645133141116,15.0,0.6091645133141129,15.0,0.6105924391065926,15.001714481655046,0.76563125,0.76563125
73,0.6035213419388902,15.0,0.6035213419388894,15.0,0.6095609581435941,15.001714481655046,0.76791875,0.76791875
74,0.6002511840127353,15.0,0.6002511840127353,15.0,0.6076441132599059,15.001714481655046,0.7690083333333333,0.7690083333333333
75,0.5978876376450234,15.0,0.5978876376450226,15.0,0.6062000558405057,15.001714481655046,0.7701291666666666,0.7701291666666666
76,0.5987290454041276,15.0,0.5987290454041271,15.0,0.6047875156245259,15.001714481655046,0.7698291666666667,0.7698291666666667
77,0.60118227087101,15.0,0.60118227087101,15.0,0.6035004367020375,15.001714481655046,0.76876875,0.76876875
78,0.5965631923960606,15.0,0.5965631923960605,15.0,0.6022667356976082,15.001714481655046,0.770825,0.770825
79,0.5938560863280855,15.0,0.5938560863280852,15.0,0.6008797587519239,15.001714481655046,0.7716229166666667,0.7716229166666667
80,0.5968766800812033,15.0,0.5968766800812045,15.0,0.5990461196516004,15.001714481655046,0.7706291666666667,0.7706291666666667
