window_stride,SourceTestLabelLoss,batch_size,source_distance
65,1.8767367102205676,256,[14]
200,1.5828946804678659,256,[14]
55,1.7608488012333467,256,[14]
45,1.5594355368427435,256,[14]
10,1.5367835300343442,256,[14]
35,1.617588197058863,256,[14]
200,1.8407083470098027,256,[14]
35,1.8470762160729153,256,[14]
50,1.4187728547903298,256,[14]
5,1.699203513316919,256,[14]
300,1.6461282003673832,256,[14]
20,1.4208200310434989,256,[14]
300,1.778374827880832,256,[14]
75,1.860281549694899,256,[14]
25,1.5511866310930011,256,[14]
65,1.52198209238918,256,[14]
10,1.77434454030585,256,[14]
95,1.6754838058261485,256,[14]
75,1.624319871642153,256,[14]
5,1.714366777070165,256,[14]
25,1.6040995427062767,256,[14]
20,1.8337785193039295,256,[14]
45,1.7244961308313034,256,[14]
75,1.5123868045031483,256,[14]
65,1.7136582001361282,256,[14]
85,1.76509234544145,256,[14]
300,1.483728695622783,256,[14]
25,1.6939428157559049,256,[14]
95,1.5321381615213574,256,[14]
5,1.5542896907784034,256,[14]
55,1.6837774896669722,256,[14]
50,1.5964381319584726,256,[14]
20,1.418844236294558,256,[14]
100,1.437473544531874,256,[14]
85,1.5564561036396392,256,[14]
50,1.5124967567114653,256,[14]
50,1.5500983514692512,256,[14]
20,1.6222839129749111,256,[14]
45,1.6284641256042232,256,[14]
55,1.5058305806414305,256,[14]
25,1.6175793518073298,256,[14]
200,1.4052717418937324,256,[14]
100,1.5347582499532126,256,[14]
5,1.50907070453097,256,[14]
100,1.6519890726037325,256,[14]
95,1.7868636504705562,256,[14]
10,1.4696533544695685,256,[14]
35,1.523480652967737,256,[14]
1,1.5188946083119923,256,[14]
10,1.6895930233021605,256,[14]
85,1.9834758621996484,256,[14]
