distance,val_loss,val_accuracy,test_loss,test_accuracy
14,2.7725882530212402,0.0625,2.772587776184082,0.0625
2,2.7725906372070312,0.0625,2.772590398788452,0.0625
44,2.7725882530212402,0.0625,2.772587776184082,0.0625
62,2.7726333141326904,0.0625,2.7726340293884277,0.0625
20,2.7725882530212402,0.0625,2.772587776184082,0.0625
32,2.7725882530212402,0.0625,2.772587776184082,0.0625
50,2.7725882530212402,0.0625,2.772587776184082,0.0625
8,2.7725882530212402,0.0625,2.772587776184082,0.0625
26,2.7725882530212402,0.0625,2.772587776184082,0.0625
38,2.7725882530212402,0.0625,2.772587776184082,0.0625
56,2.7725934982299805,0.0625,2.772594690322876,0.0625
2.8.14.20.26.32,2.7725868225097656,0.0625,2.772588014602661,0.0625
total time seconds: 741.5448186397552
