NAME,DISTANCE,LEARNING_RATE,BATCH,EPOCHS,PATIENCE,TEST_LOSS,TEST_ACC,VAL_LOSS,VAL_ACC,TOTAL_TIME_SECS
avtomat_distance-50_learningRate-0.00005_batch-1024_epochs-300_patience-10,50,5E-05,1024,300,10,0.230025589466095,0.918451249599457,0.228714570403099,0.918843746185303,7265.10463380814
avtomat_distance-50_learningRate-0.0001_batch-1024_epochs-300_patience-10,50,0.0001,1024,300,10,0.238428577780724,0.914354979991913,0.237044259905815,0.914562523365021,4903.94795012474
avtomat_distance-50_learningRate-0.0001_batch-512_epochs-300_patience-10,50,0.0001,512,300,10,0.238460436463356,0.916347503662109,0.237370952963829,0.916906237602234,4619.24890232086
avtomat_distance-50_learningRate-0.00005_batch-64_epochs-300_patience-10,50,5E-05,64,300,10,0.238998219370842,0.914481222629547,0.238117337226868,0.9150750041008,9926.94808983803
avtomat_distance-56_learningRate-0.00005_batch-64_epochs-300_patience-10,56,5E-05,64,300,10,0.237086802721024,0.904945015907288,0.240088447928429,0.902806222438812,11508.1253211498
avtomat_distance-50_learningRate-0.0001_batch-256_epochs-300_patience-10,50,0.0001,256,300,10,0.244099840521812,0.911372482776642,0.243419796228409,0.911531269550324,5276.24517822266
avtomat_distance-56_learningRate-0.00005_batch-1024_epochs-300_patience-10,56,5E-05,1024,300,10,0.244949400424957,0.899671256542206,0.247454151511192,0.898124992847443,6330.38805174828
avtomat_distance-56_learningRate-0.0001_batch-256_epochs-300_patience-10,56,0.0001,256,300,10,0.248368725180626,0.899360001087189,0.2518330514431,0.897381246089935,5541.08944821358
avtomat_distance-56_learningRate-0.0001_batch-512_epochs-300_patience-10,56,0.0001,512,300,10,0.252373307943344,0.898238778114319,0.255574077367783,0.89647501707077,3034.63370895386
avtomat_distance-14_learningRate-0.00005_batch-64_epochs-300_patience-10,14,5E-05,64,300,10,0.272756665945053,0.899542510509491,0.26958554983139,0.900243759155273,13806.811883688
avtomat_distance-50_learningRate-0.0001_batch-128_epochs-300_patience-10,50,0.0001,128,300,10,0.277129113674164,0.90283876657486,0.276373207569122,0.902887523174286,5389.1060898304
avtomat_distance-14_learningRate-0.0001_batch-64_epochs-300_patience-10,14,0.0001,64,300,10,0.283612728118896,0.899245023727417,0.281061321496963,0.899768769741058,13403.9765777588
avtomat_distance-56_learningRate-0.0001_batch-1024_epochs-300_patience-10,56,0.0001,1024,300,10,0.277753859758377,0.886618733406067,0.281428754329681,0.884456276893616,2194.39520168304
avtomat_distance-14_learningRate-0.0001_batch-1024_epochs-300_patience-10,14,0.0001,1024,300,10,0.286281377077103,0.899941265583038,0.283024668693542,0.900287508964539,5434.22640800476
avtomat_distance-14_learningRate-0.0001_batch-256_epochs-300_patience-10,14,0.0001,256,300,10,0.289088398218155,0.895331263542175,0.284798204898834,0.89658123254776,4688.28438305855
